"Datetime (date and time of sample collection)","Days since 741001","Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Month",,,,
12/20/1974 05:00,80.20833,0.25,2410.0,74.7,0.160,0.080,8.80,-9.000,-9.0,12,,,,
12/20/1974 11:00,80.45833,0.38,2270.0,49.3,0.118,0.070,9.40,-9.000,-9.0,12,,,,
12/20/1974 23:00,80.95833,0.38,1590.0,47.9,0.122,0.075,9.00,-9.000,-9.0,12,,,,
12/21/1974 05:00,81.20833,0.25,1420.0,32.3,0.125,0.085,8.80,-9.000,-9.0,12,,,,
12/21/1974 11:00,81.45833,0.25,1290.0,-9.000,0.140,0.080,4.40,-9.000,-9.0,12,,,,
12/21/1974 17:00,81.70833,0.25,1170.0,28.9,0.129,0.075,7.80,-9.000,-9.0,12,,,,
12/21/1974 23:00,81.95833,0.25,1100.0,-9.000,0.110,0.080,8.40,-9.000,-9.0,12,,,,
12/22/1974 05:00,82.20833,0.25,1010.0,17.5,0.087,0.080,10.00,-9.000,-9.0,12,,,,
12/22/1974 11:00,82.45833,0.25,936.0,28.8,0.084,0.075,6.90,-9.000,-9.0,12,,,,
12/22/1974 17:00,82.70833,0.25,869.0,36.2,0.076,0.070,6.80,-9.000,-9.0,12,,,,
12/22/1974 23:00,82.95833,0.25,817.0,28.6,0.080,0.085,6.50,-9.000,-9.0,12,,,,
12/23/1974 05:00,83.20833,0.25,707.0,25.5,0.100,0.095,6.90,-9.000,-9.0,12,,,,
12/23/1974 11:00,83.45833,0.25,579.0,22.8,0.084,0.090,7.10,-9.000,-9.0,12,,,,
12/23/1974 17:00,83.70833,0.25,515.0,30.1,0.110,0.100,7.00,-9.000,-9.0,12,,,,
12/23/1974 23:00,83.95833,0.25,547.0,63.3,0.137,0.095,6.50,-9.000,-9.0,12,,,,
12/24/1974 05:00,84.20833,0.25,896.0,113.0,0.190,0.090,6.30,-9.000,-9.0,12,,,,
12/24/1974 11:00,84.45833,0.25,1780.0,138.0,0.228,0.080,6.10,-9.000,-9.0,12,,,,
12/24/1974 17:00,84.70833,0.25,3650.0,214.0,0.369,0.090,6.20,-9.000,-9.0,12,,,,
12/24/1974 23:00,84.95833,0.50,5660.0,174.0,0.296,0.080,6.40,-9.000,-9.0,12,,,,
01/03/1975 16:00,94.66667,0.50,2370.0,108.0,0.241,0.030,4.30,-9.000,29.0,1,,,,
01/03/1975 22:00,94.91667,0.25,1950.0,58.9,0.178,0.050,6.40,-9.000,35.0,1,,,,
01/04/1975 04:00,95.16667,0.25,1920.0,41.1,0.125,0.040,6.50,-9.000,34.0,1,,,,
01/04/1975 10:00,95.41667,0.25,1560.0,45.7,0.134,0.050,6.60,-9.000,37.0,1,,,,
01/04/1975 16:00,95.66667,0.25,1590.0,34.2,0.143,0.050,6.50,-9.000,39.5,1,,,,
01/04/1975 22:00,95.91667,0.25,1320.0,25.3,0.116,0.030,6.10,-9.000,40.0,1,,,,
01/05/1975 04:00,96.16667,0.25,1390.0,25.7,0.107,0.040,6.20,-9.000,42.0,1,,,,
01/05/1975 10:00,96.41667,0.25,1310.0,25.1,-9.000,0.050,6.10,-9.000,44.0,1,,,,
01/05/1975 16:00,96.66667,0.25,1240.0,17.8,0.080,0.050,6.00,-9.000,44.0,1,,,,
01/05/1975 22:00,96.91667,0.25,1040.0,17.7,0.098,0.050,6.00,-9.000,44.0,1,,,,
01/06/1975 04:00,97.16667,0.25,1020.0,18.3,0.085,0.050,6.00,-9.000,45.0,1,,,,
01/06/1975 10:00,97.41667,0.25,993.0,13.7,0.080,0.040,6.00,-9.000,45.0,1,,,,
01/06/1975 16:00,97.66667,0.25,936.0,16.7,0.089,0.060,5.90,-9.000,45.0,1,,,,
01/06/1975 22:00,97.91667,0.25,1040.0,13.3,0.098,0.060,5.90,-9.000,46.0,1,,,,
01/07/1975 04:00,98.16667,0.25,964.0,22.0,0.107,0.050,5.80,-9.000,51.0,1,,,,
01/07/1975 10:00,98.41667,0.25,739.0,43.0,0.187,0.060,5.90,-9.000,51.0,1,,,,
01/07/1975 16:00,98.66667,0.25,643.0,66.2,0.179,0.050,6.00,-9.000,48.0,1,,,,
01/07/1975 22:00,98.91667,0.25,579.0,113.0,0.232,0.040,5.80,-9.000,42.0,1,,,,
